time,velocity,long_creepage,yaw_angle,wear_number,lateral_displacement,lateral_creepage,spin_creepage,yaw_angle_pos,contact_angle,long_creep_force,lateral_creep_force
90.74,5.54689,-0.00043984,0.00409443,0.426919,-0.00155042,-4.46851e-05,0.0877177,0.00278169,0.0281206,1540.23,514.639
20.4,8.34283,-0.00823927,0.0102713,10.4641,-0.00418576,-0.000955347,0.0242705,0.00123786,0.00826761,5334.31,-3154.02
48.74,8.32976,-5.10336e-05,-0.000314105,0.149327,0.000447577,-0.000173317,0.197076,-0.00021629,0.0611296,-225.972,800.636
78.84,5.55175,0.00130955,-0.0101095,6.17955,0.00255611,0.000289774,0.695319,-0.000215363,0.217691,-3723.28,5885.26
10.41,8.34472,0.000370627,-0.00163017,7.38524,0.000461249,-0.000630752,0.138825,-0.000991179,0.0429689,5246.18,-1336.69
48.84,5.52817,-0.0201373,0.00724464,247.275,0.00427032,-0.042462,0.00220024,0.0414896,0.012917,-2424.22,-4858.01
64.33,5.54909,0.00110591,-0.0094595,23.9508,0.00291031,0.000979189,0.723248,0.00164323,0.226793,-6202.11,5142.1
95.29,5.54978,0.000211216,-0.000950443,0.169878,0.000673333,5.15193e-05,0.192612,0.000103803,0.059743,-618.067,1660.98
17.6,5.54723,-0.00060548,0.00757297,0.240324,-0.000818638,-0.000199857,0.0963519,0.00094287,0.0298982,1040.26,-197.839
85.51,5.54957,0.000428787,0.00166511,0.188935,4.65788e-05,3.31809e-05,0.135593,0.00107506,0.042135,-830.238,1119.55
27.61,8.332,0.000204377,-0.00412086,0.537433,0.000342171,1.96846e-05,0.154051,-0.000190402,0.0476743,1444.33,1058.48
10.32,8.34596,0.000494652,-0.00366623,9.89187,0.0010241,-0.000848718,0.104936,-0.000424259,0.0330936,5872.07,-2469.23
24.94,8.32486,-0.00327426,-0.00358717,2.05741,-0.00112859,-5.63553e-05,0.0159212,-0.00336553,0.00526234,2806.74,-101.722
68.85,5.54738,-0.000968251,-0.00217985,0.141445,0.000363747,-1.42911e-05,0.159079,-0.00230435,0.0493241,739.284,1051.74
18.81,13.8858,-0.00312763,0.000867251,23.0937,-0.00311373,0.00121262,0.746354,0.000285492,0.234379,-5575.31,5419.53
24.24,8.33783,-0.000330768,0.0015497,15.49,-0.000494764,-0.00138452,0.162019,0.000619496,0.0506819,6366.22,-3586.82
26.5,5.54739,-0.000136803,-0.00157352,0.157538,-1.90153e-05,-0.000103545,0.151752,-0.00109744,0.0470502,634.255,653.445
20.81,5.54618,-0.00176724,0.00373239,3.46572,-0.00100408,0.000232332,0.632325,-7.97949e-05,0.197744,-2488.25,5164.31
18.42,13.9064,-0.00339361,0.000961006,52.3427,-0.00399564,0.00312003,0.842763,-0.00260859,0.26546,-5506.32,3200.12
88.25,5.55484,-0.00244766,0.00722611,0.347192,-0.00202393,-0.000311711,0.192362,-0.00243035,0.0596127,1191.48,87.7371
6.31,5.55673,-0.00045812,-0.00293627,7.37916,-0.000132501,0.000360444,0.71688,1.97568e-05,0.224997,-3941.7,5772.54
64.38,5.54786,0.00108844,-0.0084806,23.3497,0.00280305,0.000920684,0.706726,0.00217624,0.221518,-6355.04,5150.27
52.73,5.55111,-0.0196668,-0.0011697,283.525,0.00612408,-0.0449252,-0.0269414,0.0431566,0.00417172,-2265.77,-5485.79
8.08,13.8989,-0.000125081,-0.0155645,2.99283,-0.000911827,-4.36645e-05,0.29902,0.000118086,0.0927555,-3680.71,2972.97
21.67,13.8909,-0.00701764,0.00635736,66.1579,-0.00361546,0.00458712,1.94433,-0.00615672,0.654414,-5180.45,3556.53
